Item #,Item Title,Collection,Product Type,WebDescription,Unit Price,MSRP,Image
5628E,14K P/Cut Diamond Solitare Ring 1/3 ct,Bridal Bells,Engagement Ring,A stunning 1/4 carat Princess Cut diamond is the focus of this elegant diamond engagement ring that celebrates your declaration of love. The solitaire is set in a band of 14K white gold.,550,1379,5628E.jpg
AMS1001,Steel Cross,Classics,Alternative Metal Pendant,This simple steel cross pendant features a black cross inlay.,20,49,AMS1001.jpg
AMS1002,Steel Band,Classics,Alternative Metal Rings,A simple steel ring highlighted by an etched pattern that goes around the band.,15,39,AMS1002.jpg
AMS1075,Steel Cross,Classics,Alternative Metal Pendant,"Two steel crosses, one featuring an inscription, highlight this powerful pendant necklace.",20,49,AMS1075.jpg
AMS1081,Titanium & Steel Bracelet,Classics,Alternative Metal Bracelet,This titanium and steel bracelet is highlighted by a black metal inlay.,45,109,AMS1081.jpg
AMS1094,Steel Diamond Diamond Pendant,Classics,Diamond Pendant,An all-black steel and diamond leather cross pendant.,36,89,AMS1094.jpg
AMS1095,Steel Diamond Cross Pendant,Classics,Diamond Pendant,"This steel and 18K gold cross pendant is set with a single diamond, weighing 1/50 ctw.",60,149,AMS1095.jpg
AMS1096,Steel & 18K Diamond Pendant,Classics,Diamond Pendant,"This steel and 18K gold pendant is set with a single diamond, weighing 1/50 ctw.",45,109,AMS1096.jpg
AMS1097,Steel Bracelet,Classics,Alternative Metal Bracelet,A link bracelet crafted out of steel and blue resin.,32,79,AMS1097.jpg
AMS1098,Steel Black Diamond Bracelet 3/8 ctw,Classics,Diamond Bracelet,"This steel bracelet is set with a black diamond inlay, totaling 3/8 ctw.",150,379,AMS1098.jpg
AMS1099,Steel Diamond Cufflink,Classics,Diamond Cufflink,"A pair of steel and 18K Yellow Gold cufflinks, each set with single diamond totaling 1/50 ctw.",60,149,AMS1099.jpg
AMS1100,Steel Diamond Cuff Bracelet,Classics,Diamond Bracelet,"This steel cuff features an 18K Yellow Gold inlay and 2 diamonds, totaling 1/20 ctw.",90,229,AMS1100.jpg
AMS1101,Steel Diamond Bracelet 1/5 ctw,Classics,Diamond Bracelet,A steel and 18K gold bracelet with diamonds totaling 1/5 ctw.,180,449,AMS1101.jpg
AMS1102,Steel Bracelet,Classics,Alternative Metal Bracelet,This steel and 18K Yellow Gold link bracelet is an elegant addition to any collection.,60,149,AMS1102.jpg
AMS1103,Steel Diamond Bracelet 1/10 ctw,Classics,Diamond Bracelet,This steel bracelet is highlighted by eye-catching black diamonds totaling 1/10 ctw.,70,179,AMS1103.jpg
AMS1104,Steel Diamond Bracelet,Classics,Diamond Bracelet,This link bracelet is crafted out of Tungsten and is set with 3 diamonds weighing 1/10 ctw.,115,289,AMS1104.jpg
AMS1105,Steel Bracelet,Classics,Alternative Metal Bracelet,This link bracelet is crafted out of Tungsten and is set with 3 diamonds weighing 1/10 ctw.,45,129,AMS1105.jpg
AMS1106,Steel with 18K Inlay ID Bracelet 1/7 ctw,Classics,Diamond Bracelet,This link bracelet is crafted out of Tungsten and is set with 3 diamonds weighing 1/7 ctw.,95,249,AMS1106.jpg
BLPC6025,10KW Blue P/Cut Diamond Studs 1/4 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Princess Cut, Blue Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Blue diamonds. Total diamond weight is 1/4 ctw.",100,249,BLPC6025.jpg
BLPC6050,10KW Blue P/Cut Diamond Studs 1/2 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Princess Cut, Blue Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Blue diamonds. Total diamond weight is 1/2 ctw.",250,629,BLPC6050.jpg
BLPC6100,10KW Blue P/Cut Diamond Studs 1 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Princess Cut, Blue Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Blue diamonds. Total diamond weight is 1 ctw.",700,1749,BLPC6100.jpg
BLSE6025,10KW Blue Diamond Studs 1/4 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Blue diamonds. Total diamond weight is 1/4 ctw.",100,249,BLSE6025.jpg
BLSE6050,10KW Blue Diamond Studs 1/2 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Blue diamonds. Total diamond weight is 1/2 ctw.",250,629,BLSE6050.jpg
BLSE6100,10KW Blue Diamond Studs 1 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Blue diamonds. Total diamond weight is 1 ctw.",700,1749,BLSE6100.jpg
BPC6050,10KW Black P/Cut Diamond Studs 1/2 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Princess Cut, Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Black diamonds. Total diamond weight is 1/2 ctw.",100,249,BPC6050.jpg
BPC6100,10KW Black P/Cut Diamond Studs 1 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Princess Cut, Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Black diamonds. Total diamond weight is 1 ctw.",175,439,BPC6100.jpg
BPC6200,10KW Black P/Cut Diamond Studs 2 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Princess Cut, Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Princess Cut Black diamonds. Total diamond weight is 2 ctw.",350,879,BPC6200.jpg
BSE6050,10KW Black Diamond Studs 1/2 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Black diamonds. Total diamond weight is 1/2 ctw.",75,189,BSE6050.jpg
BSE6070,10KW Black Diamond Studs 3/4 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Black diamonds. Total diamond weight is 3/4 ctw.",120,299,BSE6070.jpg
BSE6100,10KW Black Diamond Studs 1 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Black diamonds. Total diamond weight is 1 ctw.",150,379,BSE6100.jpg
BSE6140,10KW Black Diamond Studs 1 1/2 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Black diamonds. Total diamond weight is 1 1/2 ctw.",200,499,BSE6140.jpg
BSE6200,10KW Black Diamond Studs 2 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Black Diamond stud earrings. Crafted in 10K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Black diamonds. Total diamond weight is 2 ctw.",350,879,BSE6200.jpg
DBSE6025R,10K Blue Diamond Studs 1/4 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Brown Diamond stud earrings. Crafted in 10K polished Rose Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Brown diamonds. Total diamond weight is 1/4 ctw.",100,249,DBSE6025R.jpg
DBSE6050R,10K Brown Diamond Studs 1/2 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Brown Diamond stud earrings. Crafted in 10K polished Rose Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Brown diamonds. Total diamond weight is 1/2 ctw.",250,629,DBSE6050R.jpg
DBSE6100R,10K Blue Diamond Studs 1 ctw,Classics,Diamond Studs,"Add simplicity to your style with these striking Brown Diamond stud earrings. Crafted in 10K polished Rose Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Brown diamonds. Total diamond weight is 1 ctw.",700,1749,DBSE6100R.jpg
EAO53WB,14K Aquamarine Studs 5x3 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Aquamarines. Each Aquamarine stone measures 5x3 mm.",65,169,EAO53WB.jpg
EAO64WB,14K Aquamarine Studs 6x4 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Aquamarines. Each Aquamarine stone measures 6x4 mm.",125,319,EAO64WB.jpg
EAR30WB,14K Aquamarine Studs 3 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Aquamarines. Each Aquamarine stone measures 3 mm.",50,129,EAR30WB.jpg
EAR40WB,14K Aquamarine Studs 4 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Aquamarines. Each Aquamarine stone measures 4 mm.",80,199,EAR40WB.jpg
EBO53WB,14K Blue Topaz Studs 5x3 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Blue Topaz stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Blue Topaz gemstones. Each stone measures 5x3 mm.",50,129,EBO53WB.jpg
EBO64WB,14K Blue Topaz Studs 6x4 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Blue Topaz stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Blue Topaz gemstones. Each stone measures 6x4 mm.",75,189,EBO64WB.jpg
EBR30WB,14K Blue Topaz Studs 3 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Blue Topaz stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Blue Topaz gemstones. Each stone measures 3 mm.",50,129,EBR30WB.jpg
EBR40WB,14K Blue Topaz Studs 4 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Blue Topaz stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Blue Topaz gemstones. Each stone measures 4 mm.",60,149,EBR40WB.jpg
ECO53WB,14K Citrine Studs 5x3 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Citrine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Citrine gemstones. Each stone measures 5x3 mm.",50,129,ECO53WB.jpg
ECO64WB,14K Citrine Studs 6x4 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Citrine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Citrine gemstones. Each stone measures 6x4 mm.",75,189,ECO64WB.jpg
ECR30WB,14K Citrine Studs 3mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Citrine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Citrine gemstones. Each stone measures 3 mm.",50,129,ECR30WB.jpg
ECR40WB,14K Citrine Studs 4 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Citrine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Citrine gemstones. Each stone measures 4 mm.",60,149,ECR40WB.jpg
EDO53WB,14K Peridot Studs 5x3 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Peridot stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Peridot gemstones. Each stone measures 5x3 mm.",50,129,EDO53WB.jpg
EDO64WB,14K Peridot Studs 6x4 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Peridot stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Peridot gemstones. Each stone measures 6x4 mm.",75,189,EDO64WB.jpg
EDR30WB,14K Peridot Studs 3 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Peridot stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Peridot gemstones. Each stone measures 3 mm.",50,129,EDR30WB.jpg
EDR40WB,14K Peridot Studs 4 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Peridot stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Peridot gemstones. Each stone measures 4 mm.",60,149,EDR40WB.jpg
EEO53WB,14K Emerald Studs 5X3 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Emerald stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Emerald gemstones. Each stone measures 5x3 mm.",125,319,EEO53WB.jpg
EEO64WB,14K Emerald Studs 6x4 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Emerald stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Emerald gemstones. Each stone measures 6x4 mm.",300,749,EEO64WB.jpg
EER30WB,14K Emerald Studs 3 mm,Classics,Gemstone Studs,"Add simplicity to your style with these striking Emerald stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Emerald gemstones. Each stone measures 3 mm.",80,199,EER30WB.jpg
EER40WB,14K Emerald Studs 4 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Emerald stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Emerald gemstones. Each stone measures 4 mm.",200,499,EER40WB.jpg
EGO53WB,14K Garnet Studs 5x3 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Garnet stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Garnet gemstones. Each stone measures 5x3 mm.",50,129,EGO53WB.jpg
EGO64WB,14K Garnet Studs 6x4 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Garnet stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Garnet gemstones. Each stone measures 6x4 mm.",75,189,EGO64WB.jpg
EGR30WB,14K Garnet Studs 3 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Garnet stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Garnet gemstones. Each stone measures 3 mm.",50,129,EGR30WB.jpg
EGR40WB,14K Garnet Studs 4 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Garnet stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Garnet gemstones. Each stone measures 4 mm.",60,149,EGR40WB.jpg
EJC1001,14K Diamond Earrings Cushion Jacket 1/7 ctw (for 1/4 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/7 ctw. The jackets can be used for a pair of 1/4 ctw studs.,200,499,EJC1001.jpg
EJC1002,14K Diamond Cushion Jacket 1/5 ctw (for 1/2 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/5 ctw. The jackets can be used for a pair of 1/2 ctw studs.,225,569,EJC1002.jpg
EJC1003,14K Diamond Cushion Jacket 1/5 ctw (for 3/4 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/5 ctw. The jackets can be used for a pair of 3/4 ctw studs.,225,569,EJC1003.jpg
EJC1004,14K Diamond Earrings Cushion Jacket 1/4 ctw (for 1 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/4 ctw. The jackets can be used for a pair of 1 ctw studs.,300,749,EJC1004.jpg
EJC1005,14K Diamond Cushion Jacket 1/4 ctw (for 1 1/2 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/4 ctw. The jackets can be used for a pair of 1 1/2 ctw studs.,300,749,EJC1005.jpg
EJC1006,14K Diamond Earrings Cushion Jacket 1/3 ctw (for 2 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Cushion shaped earring jackets are embellished with diamond accents weighing 1/3 ctw. The jackets can be used for a pair of 2 ctw studs.,400,999,EJC1006.jpg
EJR1001,14K Diamond Earrings Round Jacket 1/7 ctw (for 1/4 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/7 ctw. The jackets can be used for a pair of 1/4 ctw studs.,200,499,EJR1001.jpg
EJR1002,14K Diamond Earrings Round Jacket 1/5 ctw (for 1/2 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/5 ctw. The jackets can be used for a pair of 1/2 ctw studs.,225,569,EJR1002.jpg
EJR1003,14K Diamond Round Jacket 1/5 ctw (for 3/4 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/5 ctw. The jackets can be used for a pair of 3/4 ctw studs.,225,569,EJR1003.jpg
EJR1004,14K Diamond Round Jacket 1/4 ctw (for 1 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/4 ctw. The jackets can be used for a pair of 1 ctw studs.,300,749,EJR1004.jpg
EJR1005,14K Diamond Earrings Round Jacket 1/4 ctw (for 1 1/2 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/4 ctw. The jackets can be used for a pair of 1 1/2 ctw studs.,300,749,EJR1005.jpg
EJR1006,14K Diamond Earrings Round Jacket 1/3 ctw (for 2 ctw Studs),Classics,Diamond Ear Jackets,These gorgeous 14K White Gold Round shaped earring jackets are embellished with diamond accents weighing 1/3 ctw. The jackets can be used for a pair of 2 ctw studs.,400,999,EJR1006.jpg
EMO53WB,14K Amethyst Studs 5x3 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Amethyst stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Amethysts. Each stone measures 5x3 mm.",50,129,EMO53WB.jpg
EMO64WB,14K Amethyst Studs 6x4 Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Amethyst stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Amethysts. Each stone measures 6x4 mm.",75,189,EMO64WB.jpg
EMR30WB,14K Amethyst Studs 3 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Amethyst stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Amethyst gemstones. Each stone measures 3 mm.",50,129,EMR30WB.jpg
EMR40WB,14K Amethyst Studs 4 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Amethyst stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Amethyst gemstones. Each stone measures 4 mm.",60,149,EMR40WB.jpg
EPO53WB,14K Pink Sapphire Studs 5x3 mm Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Pink Sapphire stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Pink Sapphires. Each stone measures 5x3 mm.",125,319,EPO53WB.jpg
EPO64WB,14K Pink Sapphire Studs 6x4 mm Oval,Classics,Gemstone Studs,"Add simplicity to your style with these striking Pink Sapphire stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Pink Sapphires. Each stone measures 6x4 mm.",225,569,EPO64WB.jpg
EPR30WB,14K Pink Sapphire Studs 3 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Pink Sapphire stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Pink Sapphire gemstones. Each stone measures 3 mm.",75,189,EPR30WB.jpg
EPR40WB,14K Pink Sapphire Studs 4 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Pink Sapphire stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Pink Sapphire gemstones. Each stone measures 4 mm.",200,499,EPR40WB.jpg
EPTO30WB,14K Pink Tourmaline Studs 3 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Aquamarines. Each Aquamarine stone measures 3 mm.",50,129,EPTO30WB.jpg
EPTO40WB,14K Pink Tourmaline Studs 4 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Aquamarines. Each Aquamarine stone measures 4 mm.",80,199,EPTO40WB.jpg
EPTR30WB,14K Pink Tourmaline Studs 3 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Aquamarines. Each Aquamarine stone measures 3 mm.",50,129,EPTR30WB.jpg
EPTR40WB,14K Pink Tourmaline Studs 4 mm Rd,Classics,Gemstone Studs,"Add simplicity to your style with these striking Aquamarine stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Round Cut Aquamarines. Each Aquamarine stone measures 4 mm.",80,199,EPTR40WB.jpg
ERO53WB,14K Ruby Studs 5X3 mm Ov,Classics,Gemstone Studs,"Add simplicity to your style with these striking Ruby stud earrings. Crafted in 14K polished White Gold, these sparkling stud earrings are set with two perfectly matched Oval Cut Rubies. Each stone measures 5x3 mm.",125,319,ERO53WB.jpg
